"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2021","4.5270","4.5595","4.5635","4.5263","-","-0.71%"
"Jun 13, 2021","4.5595","4.5462","4.5808","4.5462","-","0.48%"
"Jun 11, 2021","4.5375","4.4930","4.5950","4.4775","-","1.17%"
"Jun 10, 2021","4.4850","4.5185","4.5345","4.4415","94.82K","-1.02%"
"Jun 09, 2021","4.5310","4.5420","4.5590","4.4850","78.49K","-0.55%"
"Jun 08, 2021","4.5560","4.5200","4.5600","4.4605","94.00K","0.65%"
"Jun 07, 2021","4.5265","4.5230","4.5390","4.4685","69.91K","-0.06%"
"Jun 04, 2021","4.5290","4.4675","4.5395","4.4370","88.23K","1.48%"
"Jun 03, 2021","4.4630","4.6040","4.6205","4.4295","127.70K","-2.80%"
"Jun 02, 2021","4.5915","4.6530","4.6675","4.5790","75.46K","-1.33%"
"Jun 01, 2021","4.6535","4.6755","4.7070","4.6375","128.29K","-0.59%"
"May 31, 2021","4.6810","4.6930","4.7047","4.6525","-","-0.27%"
"May 30, 2021","4.6937","4.6723","4.6950","4.6697","-","0.35%"
"May 28, 2021","4.6775","4.6660","4.6950","4.5925","104.13K","0.31%"
"May 27, 2021","4.6630","4.5250","4.6770","4.5015","90.45K","2.95%"
"May 26, 2021","4.5295","4.5105","4.5470","4.4945","65.58K","0.51%"
"May 25, 2021","4.5065","4.5315","4.5815","4.4910","86.45K","-0.42%"
"May 24, 2021","4.5255","4.5020","4.5415","4.4440","79.53K","0.99%"
"May 21, 2021","4.4810","4.5350","4.5625","4.4690","105.06K","-1.90%"
"May 20, 2021","4.5680","4.5720","4.6250","4.5230","102.54K","-0.19%"
"May 19, 2021","4.5765","4.7065","4.7280","4.5285","142.07K","-3.15%"
"May 18, 2021","4.7255","4.7155","4.7820","4.7040","78.11K","0.30%"
"May 17, 2021","4.7115","4.6675","4.7220","4.6405","76.76K","1.22%"
"May 14, 2021","4.6545","4.6860","4.7120","4.6060","115.49K","-0.77%"
"May 13, 2021","4.6905","4.7190","4.7675","4.6435","113.72K","-0.96%"
"May 12, 2021","4.7360","4.8000","4.8245","4.7060","108.33K","-0.55%"
"May 11, 2021","4.7620","4.6650","4.8035","4.6625","109.38K","0.98%"
"May 10, 2021","4.7160","4.7800","4.8880","4.6875","160.25K","-0.68%"
"May 07, 2021","4.7485","4.6090","4.7510","4.5975","120.25K","3.17%"
"May 06, 2021","4.6025","4.5190","4.6125","4.5005","79.80K","1.74%"
"May 05, 2021","4.5240","4.5560","4.5725","4.5035","64.61K","0.06%"
"May 04, 2021","4.5215","4.5285","4.5625","4.4900","64.43K","-0.15%"
"May 03, 2021","4.5285","4.4620","4.5355","4.4350","40.97K","1.35%"
"Apr 30, 2021","4.4680","4.4830","4.5305","4.4460","74.28K","-0.41%"
"Apr 29, 2021","4.4865","4.5000","4.5510","4.4645","92.26K","-0.24%"
"Apr 28, 2021","4.4975","4.4810","4.5185","4.4155","70.66K","0.27%"
"Apr 27, 2021","4.4855","4.4350","4.5250","4.4350","70.98K","0.92%"
"Apr 26, 2021","4.4445","4.3415","4.4560","4.3350","60.02K","2.38%"
"Apr 23, 2021","4.3410","4.2730","4.3490","4.2655","37.20K","1.44%"
"Apr 22, 2021","4.2795","4.2960","4.3000","4.2525","29.18K","-0.19%"
"Apr 21, 2021","4.2875","4.2190","4.3035","4.2140","31.34K","1.58%"
"Apr 20, 2021","4.2210","4.2410","4.3035","4.2095","24.26K","-0.57%"
"Apr 19, 2021","4.2450","4.1710","4.2830","4.1590","28.76K","1.73%"
"Apr 16, 2021","4.1730","4.2315","4.2495","4.1655","26.88K","-1.23%"
"Apr 15, 2021","4.2250","4.1120","4.2415","4.1120","40.57K","2.20%"
"Apr 14, 2021","4.1340","4.0465","4.1380","4.0365","38.44K","2.35%"
"Apr 13, 2021","4.0390","4.0220","4.0655","4.0055","19.79K","0.34%"
"Apr 12, 2021","4.0255","4.0520","4.0645","3.9950","20.11K","-0.51%"
"Apr 09, 2021","4.0460","4.0980","4.1100","4.0430","20.39K","-1.29%"
"Apr 08, 2021","4.0990","4.0650","4.1010","4.0480","21.24K","1.02%"
"Apr 07, 2021","4.0575","4.1090","4.1185","4.0400","14.42K","-1.48%"
"Apr 06, 2021","4.1185","4.1430","4.1530","4.0740","16.42K","-0.53%"
"Apr 05, 2021","4.1405","4.0300","4.1615","4.0280","13.42K","3.66%"
"Apr 01, 2021","3.9945","3.9890","4.0215","3.9490","73.10K","-0.15%"
"Mar 31, 2021","4.0005","3.9820","4.0200","3.9585","16.16K","0.45%"
"Mar 30, 2021","3.9825","4.0420","4.0520","3.9695","9.01K","-1.39%"
"Mar 29, 2021","4.0385","4.0810","4.0840","4.0135","8.69K","-0.79%"
"Mar 26, 2021","4.0705","3.9995","4.0830","3.9990","9.43K","2.24%"
"Mar 25, 2021","3.9815","4.0325","4.0475","3.9475","12.70K","-2.11%"
"Mar 24, 2021","4.0675","4.0350","4.1060","4.0215","7.54K","-0.34%"
"Mar 23, 2021","4.0815","4.1445","4.1660","4.0195","5.99K","-1.45%"
"Mar 22, 2021","4.1415","4.1015","4.1485","4.0780","5.61K","0.68%"
"Mar 19, 2021","4.1135","4.0650","4.1220","4.0130","6.23K","0.11%"
"Mar 18, 2021","4.1090","4.1490","4.1565","4.0500","5.55K","-0.28%"
"Mar 17, 2021","4.1205","4.0625","4.1630","4.0505","4.01K","1.17%"
"Mar 16, 2021","4.0730","4.1400","4.1490","4.0430","5.40K","-1.65%"
"Mar 15, 2021","4.1415","4.1665","4.1900","4.1125","5.46K","0.00%"
"Mar 12, 2021","4.1415","4.1460","4.1590","4.0685","4.33K","0.01%"
"Mar 11, 2021","4.1410","4.0350","4.1510","4.0110","8.07K","2.69%"
"Mar 10, 2021","4.0325","4.0170","4.0605","3.9860","6.25K","0.61%"
"Mar 09, 2021","4.0080","4.0745","4.1195","3.9760","6.13K","-2.04%"
"Mar 08, 2021","4.0915","4.1180","4.1665","3.9970","6.50K","0.40%"
"Mar 05, 2021","4.0750","3.9515","4.1100","3.9070","8.98K","2.44%"
"Mar 04, 2021","3.9780","4.1120","4.1455","3.8500","15.68K","-3.92%"
"Mar 03, 2021","4.1405","4.2095","4.2120","4.0970","8.06K","-1.86%"
"Mar 02, 2021","4.2190","4.1035","4.2235","4.0430","8.38K","2.60%"
"Mar 01, 2021","4.1120","4.0930","4.1780","4.0890","9.46K","0.53%"
"Feb 26, 2021","4.0905","4.2080","4.2495","4.0765","10.51K","-3.95%"
"Feb 25, 2021","4.2585","4.3130","4.3700","4.1865","5.81K","-0.97%"
"Feb 24, 2021","4.3000","4.2120","4.3245","4.1435","8.88K","2.75%"
"Feb 23, 2021","4.1850","4.1485","4.2270","4.0960","7.85K","0.95%"
"Feb 22, 2021","4.1455","4.0670","4.2135","4.0670","8.11K","1.79%"
"Feb 19, 2021","4.0725","3.9090","4.0895","3.8900","11.26K","4.34%"
"Feb 18, 2021","3.9030","3.8265","3.9240","3.8240","7.80K","2.12%"
"Feb 17, 2021","3.8220","3.8315","3.8380","3.7950","7.04K","-0.17%"
"Feb 16, 2021","3.8285","3.7970","3.8345","3.7945","6.61K","0.18%"
"Feb 15, 2021","3.8218","3.8005","3.8340","3.7997","-","0.57%"
"Feb 14, 2021","3.8003","3.7960","3.8087","3.7960","-","0.47%"
"Feb 12, 2021","3.7825","3.7765","3.8000","3.7320","4.52K","0.29%"
"Feb 11, 2021","3.7715","3.7600","3.7880","3.7475","4.80K","0.04%"
"Feb 10, 2021","3.7700","3.7120","3.7880","3.7070","6.62K","1.55%"
"Feb 09, 2021","3.7125","3.6760","3.7170","3.6645","5.80K","1.38%"
"Feb 08, 2021","3.6620","3.6420","3.6760","3.6210","4.93K","1.03%"
"Feb 05, 2021","3.6245","3.5685","3.6375","3.5635","4.24K","1.94%"
"Feb 04, 2021","3.5555","3.5650","3.5810","3.5405","2.82K","-0.25%"
"Feb 03, 2021","3.5645","3.5340","3.5690","3.5075","4.31K","1.13%"
"Feb 02, 2021","3.5245","3.5505","3.5635","3.5050","4.36K","-0.55%"
"Feb 01, 2021","3.5440","3.5390","3.5800","3.5270","4.47K","-0.34%"
"Jan 29, 2021","3.5560","3.5745","3.6090","3.5370","3.24K","-0.66%"
"Jan 28, 2021","3.5795","3.5510","3.5995","3.5015","4.36K","0.34%"
"Jan 27, 2021","3.5675","3.6305","3.6305","3.5345","3.67K","-1.69%"
"Jan 26, 2021","3.6290","3.6410","3.6480","3.5900","2.65K","-0.22%"
"Jan 25, 2021","3.6370","3.6400","3.6455","3.6000","2.50K","0.14%"
"Jan 22, 2021","3.6320","3.6470","3.6470","3.5775","4.04K","-0.60%"
"Jan 21, 2021","3.6540","3.6525","3.6750","3.6410","2.02K","0.21%"
"Jan 20, 2021","3.6465","3.6415","3.6605","3.6285","1.85K","0.23%"
"Jan 19, 2021","3.6380","3.6050","3.6540","3.6020","5.61K","0.59%"
"Jan 18, 2021","3.6168","3.5762","3.6488","3.5737","-","1.14%"
"Jan 17, 2021","3.5760","3.6000","3.6060","3.5585","-","-0.90%"
"Jan 15, 2021","3.6085","3.6725","3.6850","3.5915","2.17K","-1.64%"
"Jan 14, 2021","3.6685","3.6235","3.6785","3.6165","6.03K","1.24%"
"Jan 13, 2021","3.6235","3.6480","3.6480","3.6140","3.79K","0.32%"
"Jan 12, 2021","3.6120","3.5800","3.6500","3.5800","5.06K","1.09%"
"Jan 11, 2021","3.5730","3.6780","3.6790","3.5620","4.56K","-2.99%"
"Jan 08, 2021","3.6830","3.7315","3.7355","3.6400","6.84K","-0.61%"
"Jan 07, 2021","3.7055","3.6730","3.7190","3.6575","1.54K","1.24%"
"Jan 06, 2021","3.6600","3.6605","3.7060","3.6370","3.15K","0.32%"
"Jan 05, 2021","3.6485","3.5825","3.6640","3.5825","2.71K","2.36%"
"Jan 04, 2021","3.5645","3.5495","3.6105","3.5495","2.78K","1.26%"
"Jan 01, 2021","3.5200","3.5200","3.5200","3.5200","-","-0.18%"
"Dec 31, 2020","3.5265","3.5535","3.5535","3.5145","2.02K","-0.87%"
"Dec 30, 2020","3.5575","3.5580","3.5875","3.5510","1.36K","-0.14%"
"Dec 29, 2020","3.5625","3.5870","3.5995","3.5525","1.97K","-0.49%"
"Dec 28, 2020","3.5800","3.5985","3.6185","3.5785","0.42K","0.25%"
"Dec 24, 2020","3.5710","3.5520","3.5760","3.5445","0.97K","0.18%"
"Dec 23, 2020","3.5645","3.5290","3.5695","3.4985","1.57K","0.95%"
"Dec 22, 2020","3.5310","3.5935","3.6005","3.5170","2.15K","-1.59%"
"Dec 21, 2020","3.5880","3.6480","3.6480","3.5570","2.86K","-1.42%"
"Dec 18, 2020","3.6395","3.6250","3.6470","3.6085","1.69K","0.92%"
"Dec 17, 2020","3.6065","3.5705","3.6175","3.5705","1.32K","1.18%"
"Dec 16, 2020","3.5645","3.5490","3.5830","3.5465","2.47K","0.32%"
"Dec 15, 2020","3.5530","3.5225","3.5540","3.5190","1.64K","0.42%"
"Dec 14, 2020","3.5380","3.5535","3.5585","3.5200","2.43K","0.01%"
"Dec 11, 2020","3.5375","3.6145","3.6145","3.5105","2.70K","-1.26%"
"Dec 10, 2020","3.5825","3.4740","3.5960","3.4740","2.81K","1.72%"
"Dec 09, 2020","3.5220","3.5250","3.5380","3.5000","2.64K","0.38%"
"Dec 08, 2020","3.5085","3.4925","3.5145","3.4790","2.27K","-0.48%"
"Dec 07, 2020","3.5255","3.5460","3.5460","3.4920","2.90K","-0.16%"
"Dec 04, 2020","3.5310","3.5035","3.5360","3.5035","1.49K","1.02%"
"Dec 03, 2020","3.4955","3.4940","3.5235","3.4810","2.99K","0.07%"
"Dec 02, 2020","3.4930","3.4915","3.5140","3.4465","2.15K","0.01%"
"Dec 01, 2020","3.4925","3.4485","3.5225","3.4485","2.46K","1.39%"
"Nov 30, 2020","3.4445","3.4320","3.5075","3.4320","2.20K","0.64%"
"Nov 27, 2020","3.4225","3.3610","3.4280","3.3600","1.60K","2.23%"
"Nov 26, 2020","3.3478","3.3117","3.3585","3.3090","-","0.26%"
"Nov 25, 2020","3.3390","3.3295","3.3405","3.3120","1.75K","0.38%"
"Nov 24, 2020","3.3265","3.3000","3.3390","3.2995","2.83K","1.23%"
"Nov 23, 2020","3.2860","3.3090","3.3090","3.2630","1.75K","-0.83%"
"Nov 20, 2020","3.3135","3.2445","3.3200","3.2445","3.67K","2.62%"
"Nov 19, 2020","3.2290","3.2155","3.2420","3.1980","1.71K","0.23%"
"Nov 18, 2020","3.2215","3.2290","3.2490","3.2200","1.93K","0.08%"
"Nov 17, 2020","3.2190","3.2440","3.2470","3.2000","1.80K","-0.56%"
"Nov 16, 2020","3.2370","3.2360","3.2650","3.2235","2.51K","1.44%"
"Nov 13, 2020","3.1910","3.1500","3.1985","3.1500","1.96K","0.98%"
"Nov 12, 2020","3.1600","3.1580","3.1745","3.1380","2.63K","0.30%"
"Nov 11, 2020","3.1505","3.1780","3.1900","3.1335","2.84K","-0.69%"
"Nov 10, 2020","3.1725","3.1700","3.1750","3.1150","4.29K","0.08%"
"Nov 09, 2020","3.1700","3.1925","3.2160","3.1490","3.29K","0.09%"
"Nov 06, 2020","3.1670","3.1180","3.1815","3.1180","6.48K","1.49%"
"Nov 05, 2020","3.1205","3.1105","3.1410","3.0925","0.72K","0.29%"
"Nov 04, 2020","3.1115","3.1085","3.1225","3.0440","1.02K","0.57%"
"Nov 03, 2020","3.0940","3.0955","3.1190","3.0935","0.98K","0.18%"
"Nov 02, 2020","3.0885","3.0640","3.0970","3.0605","0.55K","0.95%"
"Oct 30, 2020","3.0595","3.0640","3.0770","3.0560","0.69K","-0.24%"
"Oct 29, 2020","3.0670","3.0910","3.0990","3.0580","0.37K","-0.23%"
"Oct 28, 2020","3.0740","3.0900","3.1125","3.0595","0.41K","-0.95%"
"Oct 27, 2020","3.1035","3.0970","3.1155","3.0960","0.62K","0.32%"
"Oct 26, 2020","3.0935","3.1275","3.1275","3.0885","0.49K","-1.21%"
"Oct 23, 2020","3.1315","3.1395","3.1555","3.1280","0.36K","-0.71%"
"Oct 22, 2020","3.1540","3.1875","3.1875","3.1450","1.01K","-1.16%"
"Oct 21, 2020","3.1910","3.1500","3.1920","3.1500","0.51K","1.54%"
"Oct 20, 2020","3.1425","3.1000","3.1625","3.0985","1.23K","1.73%"
"Oct 19, 2020","3.0890","3.0775","3.1050","3.0710","0.72K","0.52%"
"Oct 16, 2020","3.0730","3.0870","3.0885","3.0625","1.36K","-0.73%"
"Oct 15, 2020","3.0955","3.0670","3.0955","3.0510","1.14K","0.90%"
"Oct 14, 2020","3.0680","3.0600","3.0800","3.0590","0.56K","0.33%"
"Oct 13, 2020","3.0580","3.0590","3.0670","3.0440","0.96K","-0.54%"
"Oct 12, 2020","3.0745","3.0790","3.0935","3.0665","1.01K","-0.26%"
"Oct 09, 2020","3.0825","3.0715","3.0900","3.0540","1.90K","1.17%"
"Oct 08, 2020","3.0470","3.0340","3.0525","3.0275","1.20K","0.00%"
"Oct 07, 2020","3.0470","2.9580","3.0665","2.9550","1.54K","2.11%"
"Oct 06, 2020","2.9840","2.9805","2.9915","2.9515","1.29K","0.05%"
"Oct 05, 2020","2.9825","2.9815","2.9850","2.9550","1.17K","-0.40%"
"Oct 02, 2020","2.9945","2.8840","3.0020","2.8720","1.79K","3.78%"
"Oct 01, 2020","2.8855","3.0510","3.0510","2.8820","1.77K","-5.28%"
"Sep 30, 2020","3.0465","3.0075","3.0515","2.9970","1.08K","1.50%"
"Sep 29, 2020","3.0015","2.9785","2.9945","2.9770","0.64K","-0.07%"
"Sep 28, 2020","3.0035","2.9955","3.0105","2.9910","0.97K","0.77%"
"Sep 25, 2020","2.9805","2.9980","2.9980","2.9555","1.28K","0.07%"
"Sep 24, 2020","2.9785","2.9610","2.9825","2.9400","0.84K","-0.88%"
"Sep 23, 2020","3.0050","3.0430","3.0535","2.9600","0.98K","-1.93%"
"Sep 22, 2020","3.0640","3.0570","3.0880","3.0565","0.86K","0.97%"
"Sep 21, 2020","3.0345","3.1065","3.1065","3.0265","1.74K","-2.77%"
"Sep 18, 2020","3.1210","3.1105","3.1155","3.0815","1.77K","1.04%"
"Sep 17, 2020","3.0890","3.0415","3.0965","3.0415","0.33K","0.23%"
"Sep 16, 2020","3.0820","3.0810","3.0895","3.0720","0.34K","-0.11%"
"Sep 15, 2020","3.0855","3.1020","3.1045","3.0705","0.89K","-0.19%"
"Sep 14, 2020","3.0915","3.0675","3.0960","3.0585","1.16K","0.95%"
"Sep 11, 2020","3.0625","3.0205","3.0700","3.0205","1.14K","1.27%"
"Sep 10, 2020","3.0240","3.0580","3.0710","2.9950","1.51K","-1.72%"
"Sep 09, 2020","3.0770","3.0575","3.0730","3.0560","2.01K","0.85%"
"Sep 08, 2020","3.0510","3.0795","3.1005","3.0215","3.45K","-0.61%"
"Sep 07, 2020","3.0697","3.0740","3.0880","3.0427","-","-0.16%"
"Sep 06, 2020","3.0745","3.0790","3.0790","3.0623","-","-0.31%"
"Sep 04, 2020","3.0840","3.0300","3.0970","3.0275","2.05K","2.71%"
"Sep 03, 2020","3.0025","3.0535","3.0600","2.9900","0.88K","-1.46%"
"Sep 02, 2020","3.0470","3.0545","3.0610","3.0335","1.51K","-0.18%"
"Sep 01, 2020","3.0525","3.0710","3.0945","3.0395","1.06K","-1.05%"
"Aug 31, 2020","3.0850","3.0565","3.0830","3.0565","0.46K","1.51%"
"Aug 28, 2020","3.0390","3.0520","3.0590","3.0365","1.02K","0.83%"
"Aug 27, 2020","3.0140","3.0060","3.0305","2.9855","0.60K","0.23%"
"Aug 26, 2020","3.0070","2.9855","3.0095","2.9845","0.54K","0.89%"
"Aug 25, 2020","2.9805","2.9760","2.9910","2.9650","0.23K","0.17%"
"Aug 24, 2020","2.9755","2.9795","3.0050","2.9675","0.58K","0.44%"
"Aug 21, 2020","2.9625","2.9855","2.9855","2.9545","0.35K","-1.81%"
"Aug 20, 2020","3.0170","3.0140","3.0385","3.0075","0.69K","-1.34%"
"Aug 19, 2020","3.0580","3.0225","3.0625","3.0225","1.49K","1.44%"
"Aug 18, 2020","3.0145","2.9500","3.0155","2.9500","0.40K","2.05%"
"Aug 17, 2020","2.9540","2.9100","2.9620","2.9100","0.73K","1.39%"
"Aug 14, 2020","2.9135","2.8755","2.9145","2.8755","0.48K","1.64%"
"Aug 13, 2020","2.8665","2.9050","2.9050","2.8310","0.47K","-2.58%"
"Aug 12, 2020","2.9425","2.9090","2.9490","2.9090","0.47K","0.46%"
"Aug 11, 2020","2.9290","2.9060","2.9320","2.9010","0.30K","0.43%"
"Aug 10, 2020","2.9165","2.8445","2.9375","2.8445","0.43K","2.30%"
"Aug 07, 2020","2.8510","2.9405","2.9405","2.8425","0.48K","-3.97%"
"Aug 06, 2020","2.9690","2.9470","2.9685","2.9470","0.90K","0.00%"
"Aug 05, 2020","2.9690","2.9690","2.9865","2.9665","1.01K","0.63%"
"Aug 04, 2020","2.9505","2.9385","2.9530","2.9385","0.22K","-0.42%"
"Aug 03, 2020","2.9630","2.9435","2.9720","2.9425","0.48K","1.59%"
"Jul 31, 2020","2.9165","2.9595","2.9595","2.8920","0.20K","-1.27%"
"Jul 30, 2020","2.9540","2.9465","2.9550","2.9355","0.13K","-0.08%"
"Jul 29, 2020","2.9565","2.9375","2.9735","2.9375","0.04K","0.03%"
"Jul 28, 2020","2.9555","2.9380","2.9380","2.9380","0.04K","0.65%"
"Jul 27, 2020","2.9365","2.9565","2.9565","2.9300","0.08K","0.41%"
"Jul 24, 2020","2.9245","2.9255","2.9385","2.9055","0.32K","-1.37%"
"Jul 23, 2020","2.9650","2.9345","2.9345","2.9345","0.35K","0.25%"
"Jul 22, 2020","2.9575","2.9625","2.9625","2.9530","0.46K","-1.17%"
"Jul 21, 2020","2.9925","2.9660","3.0000","2.9650","0.17K","1.42%"
"Jul 20, 2020","2.9505","2.9295","2.9295","2.9295","0.03K","0.44%"
"Jul 17, 2020","2.9375","2.9250","2.9415","2.9245","0.22K","0.14%"
"Jul 16, 2020","2.9335","2.8880","2.9345","2.8880","0.08K","0.46%"
"Jul 15, 2020","2.9200","2.9560","2.9560","2.9300","0.08K","-1.65%"
"Jul 14, 2020","2.9690","2.9585","2.9745","2.9540","0.49K","-0.52%"
"Jul 13, 2020","2.9845","2.9840","2.9940","2.9480","0.30K","1.89%"
"Jul 10, 2020","2.9290","2.8850","2.9200","2.8850","0.28K","1.91%"
"Jul 09, 2020","2.8740","2.8530","2.8925","2.8530","0.07K","0.81%"
"Jul 08, 2020","2.8510","2.8310","2.8455","2.8310","0.28K","0.83%"
"Jul 07, 2020","2.8275","2.7985","2.8095","2.7895","0.05K","0.93%"
"Jul 06, 2020","2.8015","2.7560","2.7945","2.7945","0.26K","3.80%"
"Jul 03, 2020","2.6990","2.7330","2.7370","2.6980","-","-3.14%"
"Jul 02, 2020","2.7865","2.7990","2.8005","2.7840","0.01K","0.43%"
"Jul 01, 2020","2.7745","2.7640","2.7755","2.7640","0.04K","0.31%"
"Jun 30, 2020","2.7660","2.7565","2.7565","2.7480","0.03K","1.28%"
"Jun 29, 2020","2.7310","2.7305","2.7310","2.7215","0.07K","0.48%"
"Jun 26, 2020","2.7180","2.7145","2.7145","2.7145","0.01K","-0.13%"
"Jun 25, 2020","2.7215","2.6925","2.7165","2.6885","0.01K","0.70%"
"Jun 24, 2020","2.7025","2.6870","2.6965","2.6870","0.15K","-0.35%"
"Jun 23, 2020","2.7120","2.7145","2.7145","2.7085","0.08K","0.26%"
"Jun 22, 2020","2.7050","2.7030","2.7030","2.7030","0.01K","1.22%"
"Jun 19, 2020","2.6725","2.6580","2.6920","2.6580","0.02K","0.51%"
"Jun 18, 2020","2.6590","2.6880","2.6880","2.6490","0.02K","-0.04%"
"Jun 17, 2020","2.6600","2.6435","2.6535","2.6400","0.02K","0.83%"
"Jun 16, 2020","2.6380","2.6680","2.6680","2.6680","0.03K","0.08%"
"Jun 15, 2020","2.6360","2.6140","2.6140","2.6140","0.08K","-1.00%"